Metric Group,Metric Abbreviation,Metric Name / Description,Window size (Kb),Reference Celltype,Reference Genome,Source
Population,numUniqSites,Unique Sites,NA,NA,hg38,Calculated
Population,estAbund,Mean Estimated Abundance,NA,NA,hg38,Calculated
Population,relAbund,Mean Relative Abundance,NA,NA,hg38,Calculated
Population,ShannonIndex,Shannon Index,NA,NA,hg38,Calculated
Population,GiniIndex,Gini Index,NA,NA,hg38,Calculated
Population,Chao1,Chao 1 Estimate,NA,NA,hg38,Calculated
Population,UC50,UC50  - Minimal number of unique clones making up 50% of the overall abundance,NA,NA,hg38,Calculated
Population,clustersRepresented,Integration sites clusters represented within the specimens,NA,NA,hg38,Calculated
Population,numSitesInClusters,Number of sites within clusters,NA,NA,hg38,Calculated
Population,abundInClusters,Abundance of clones found within clusters,NA,NA,hg38,Calculated
Genomic,pctTxnUnit,Percent of clones within Transcription Units,NA,NA,hg38,RefSeq-NCBI
Genomic,pctSameOrt,Percent of clones in same orientation as gene transcription,NA,NA,hg38,RefSeq-NCBI
Genomic,pctNearTxnUn,Percent of clones near transcription units,NA,NA,hg38,RefSeq-NCBI
Genomic,pctInOnco,Percent clones within transcription units of onco-related genes,NA,NA,hg38,Bushman Lab
Genomic,refSeq_counts.10k,RefSeq Genes within X window,10,NA,hg38,RefSeq-NCBI
Genomic,refSeq_counts.100k,RefSeq Genes within X window,100,NA,hg38,RefSeq-NCBI
Genomic,refSeq_counts.1M,RefSeq Genes within X window,1000,NA,hg38,RefSeq-NCBI
Genomic,GC.100,GC Percent within X window ,0.1,NA,hg38,Calculated
Genomic,GC.1k,GC Percent within X window ,1,NA,hg38,Calculated
Genomic,GC.10k,GC Percent within X window ,10,NA,hg38,Calculated
Genomic,GC.100k,GC Percent within X window ,100,NA,hg38,Calculated
Genomic,GC.1M,GC Percent within X window ,1000,NA,hg38,Calculated
Genomic,CpG_counts.1k,CpG counts within X window,1,NA,hg38,Calculated
Genomic,CpG_counts.10k,CpG counts within X window,10,NA,hg38,Calculated
Genomic,CpG_density.10k,CpG Density within X window,10,NA,hg38,Calculated
Genomic,CpG_density.100k,CpG Density within X window,100,NA,hg38,Calculated
Genomic,CpG_density.1M,CpG Density within X window,1000,NA,hg38,Calculated
Genomic,DNaseI_count.1k,DNaseI counts within X window,1,NA,hg38,UCSC
Genomic,DNaseI_count.10k,DNaseI counts within X window,10,NA,hg38,UCSC
Genomic,DNaseI_count.100k,DNaseI counts within X window,100,NA,hg38,UCSC
Genomic,DNaseI_count.1M,DNaseI counts within X window,1000,NA,hg38,UCSC
Epigenetic,H2AK5ac.10k,H2AK5ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H2AK9ac.10k,H2AK9ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H2AZ.10k,H2AZ counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H2BK120ac.10k,H2BK120ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
Epigenetic,H2BK12ac.10k,H2BK12ac counts within X window,10,CD4+ Tcells,hg38,UCSC - hg18 LiftOver
